Region,Country,Above and belowground biomass forests,Dead organic matter forests 
Africa,Africa,,
Africa,Algeria,47,9
Africa,Angola,75,15
Africa,Benin,58,10
Africa,Botswana,57,15
Africa,Burkina Faso,52,10
Africa,Burundi,96,10
Africa,Cameroon,135,10
Africa,Cape Verde,58,10
Africa,Central African Republic,127,10
Africa,Chad,55,10
Africa,Comoros,117,15
Africa,Congo,153,10
Africa,Côte d'Ivoire,177,10
Africa,Democratic Republic of the Congo,127,10
Africa,Djibouti,41,15
Africa,Egypt,99,9
Africa,Equatorial Guinea,125,10
Africa,Eritrea,63,15
Africa,Ethiopia,18,15
Africa,Gabon,123,10
Africa,Gambia,66,10
Africa,Ghana,77,10
Africa,Guinea,95,10
Africa,Guinea-Bissau,47,10
Africa,Kenya,137,15
Africa,Lesotho,53,15
Africa,Liberia,135,10
Africa,Libya,28,9
Africa,Madagascar,130,15
Africa,Malawi,44,15
Africa,Mali,23,10
Africa,Mauritania,30,9
Africa,Mauritius,65,15
Africa,Morocco,43,9
Africa,Mozambique,43,15
Africa,Namibia,29,15
Africa,Niger,31,10
Africa,Nigeria,120,10
Africa,Réunion,68,15
Africa,Rwanda,91,10
Africa,Saint Helena,93,10
Africa,Sao Tome and Principe,141,10
Africa,Senegal,40,10
Africa,Seychelles,88,15
Africa,Sierra Leone,79,10
Africa,Somalia,58,15
Africa,South Africa,87,15
Africa,Sudan,20,9
Africa,Swaziland,39,15
Africa,Togo,93,10
Africa,Tunisia,9,9
Africa,Uganda,36,15
Africa,United Republic of Tanzania,60,15
Africa,Western Sahara,46,9
Africa,Zambia,49,15
Africa,Zimbabwe,31,15
Asia,Asia,,
Asia (continental),Afghanistan,28,13
Asia (continental),Armenia,48,13
Asia (continental),Azerbaijan,58,13
Asia (continental),Bahrain,32,13
Asia (continental),Bangladesh,55,4
Asia (continental),Bhutan,103,4
Asia (insular),Brunei Darussalam,188,4
Asia (continental),Cambodia,46,4
Asia (continental),China,30,7
Asia (continental),Cyprus,18,13
Asia (continental),Democratic People's Republic of Korea,30,7
Asia (insular),Timor-Leste,90,4
Asia (continental),Gaza Strip,31,13
Asia (continental),Georgia,77,13
Asia (continental),India,41,4
Asia (insular),Indonesia,138,4
Asia (continental),Iran (Islamic Republic of),23,13
Asia (continental),Iraq,32,13
Asia (continental),Israel,31,13
Asia (continental),Japan,39,7
Asia (continental),Jordan,24,13
Asia (continental),Kazakhstan,41,13
Asia (continental),Kuwait,32,13
Asia (continental),Kyrgyzstan,59,13
Asia (continental),Lao People's Democratic Republic,68,4
Asia (continental),Lebanon,13,13
Asia (insular),Malaysia,157,4
Asia (insular),Maldives,90,4
Asia (continental),Mongolia,53,7
Asia (continental),Myanmar,52,4
Asia (continental),Nepal,133,4
Asia (continental),Oman,32,13
Asia (continental),Pakistan,126,4
Asia (insular),Philippines,87,4
Asia (continental),Qatar,32,13
Asia (continental),Republic of Korea,43,7
Asia (continental),Saudi Arabia,6,13
Asia (insular),Singapore,90,4
Asia (continental),Sri Lanka,33,4
Asia (continental),Syrian Arab Republic,32,13
Asia (continental),Tajikistan,7,13
Asia (continental),Thailand,46,4
Asia (continental),Turkey,73,13
Asia (continental),Turkmenistan,3,13
Asia (continental),United Arab Emirates,50,13
Asia (continental),Uzbekistan,6,13
Asia (continental),Viet Nam,72,4
Asia (continental),West Bank,31,13
Asia (continental),Yemen,9,13
Asia (insular),Oceania,,
Asia (insular),American Samoa,110,15
Asia (insular),Australia,140,15
Asia (insular),Cook Islands,140,15
Asia (insular),Fiji,140,15
Asia (insular),French Polynesia,132,15
Asia (insular),Guam,69,15
Asia (insular),Kiribati,140,15
Asia (insular),Marshall Islands,183,15
Asia (insular),Micronesia (Federated States of),318,15
Asia (insular),Nauru,140,15
Asia (insular),New Caledonia,72,15
New Zealand,New Zealand,156,15
Asia (insular),Niue,140,15
Asia (insular),Northern Mariana Isl.,100,15
Asia (insular),Palau,264,15
Asia (insular),Papua New Guinea,80,15
Asia (insular),Samoa,140,15
Asia (insular),Solomon Islands,82,15
Asia (insular),Tonga,114,15
Asia (insular),Vanuatu,140,15
Europe,Europe,,
Europe,Albania,63,21
Europe,Andorra,75,21
Europe,Austria,101,21
Europe,Belarus,71,21
Europe,Luxembourg,108,21
Europe,Belgium-Luxembourg,102,21
Europe,Belgium,95,21
Europe,Bosnia and Herzegovina,54,21
Europe,Bulgaria,51,21
Europe,Croatia,132,21
Europe,Czech Republic,134,21
Europe,Denmark,68,21
Europe,Estonia,74,21
Europe,Finland,38,21
Europe,France,76,21
Europe,Germany,127,21
Europe,Greece,20,21
Europe,Hungary,70,21
Europe,Iceland,9,21
Europe,Ireland,31,21
Europe,Italy,61,21
Europe,Latvia,81,21
Europe,Liechtenstein,74,21
Europe,Lithuania,71,21
Europe,Malta,173,21
Europe,Netherlands,76,21
Europe,Norway,39,21
Europe,Poland,104,21
Europe,Portugal,30,21
Europe,Republic of Moldova,75,21
Europe,Romania,94,21
Europe,Russian Federation,40,21
Europe,San Marino,75,21
Europe,Slovakia,109,21
Europe,Slovenia,142,21
Europe,Spain,23,21
Europe,Sweden,45,21
Europe,Switzerland,115,21
Europe,The former Yugoslav Republic of Macedonia,61,21
Europe,Ukraine,78,21
Europe,United Kingdom,47,21
Europe,Yugoslavia,61,21
Europe,Faroe Islands,93,21
Europe,Montenegro,61,21
Europe,Serbia,88,21
North America,North and Central America,,
North America,Antigua and Barbuda,93,15
North America,Bahamas,93,15
North America,Barbados,93,15
North America,Belize,123,37
North America,Bermuda,93,15
North America,British Virgin Islands,93,15
North America,Canada,45,39
North America,Cayman Islands,93,15
North America,Costa Rica,91,37
North America,Cuba,79,15
North America,Dominica,93,15
North America,Dominican Republic,58,15
North America,El Salvador,97,37
North America,Greenland,47,39
North America,Grenada,63,15
North America,Guadeloupe,195,15
North America,Guatemala,77,37
North America,Haiti,54,15
North America,Honduras,64,37
North America,Jamaica,141,15
North America,Martinique,173,15
North America,Mexico,32,39
North America,Montserrat,93,15
North America,Netherlands Antilles,93,15
North America,Nicaragua,112,37
North America,Panama,113,37
North America,Puerto Rico,51,15
North America,Saint Kitts and Nevis,93,15
North America,Saint Lucia,93,15
North America,Saint Pierre and Miquelon,47,39
North America,Saint Vincent and the Grenadines,93,15
North America,Trinidad and Tobago,85,15
North America,United States of America,64,39
North America,US Virgin Islands,27,15
North America,Tokelau,140,15
North America,Wallis and Futuna Islands,140,15
South America,South America,,
South America,Argentina,104,12
South America,Bolivia (Plurinational State of),78,12
South America,Brazil,121,12
South America,Chile,83,12
South America,Colombia,112,12
South America,Ecuador,128,12
South America,Falkland Islands,128,12
South America,French Guiana,204,12
South America,Guyana,107,12
South America,Paraguay,128,12
South America,Peru,126,12
South America,Suriname,214,12
South America,Uruguay,128,12
South America,Venezuela (Bolivarian Republic of),128,12
South America,Tuvalu,140,15
,,,
Asia (continental),Occupied Palestinian Territory,32,13
