Species,Temperatures,Lagoon,Liquid slurry,Solid storage,Drylot,Pasture,Daily spread,Digester,Burned for fuel,Other,Pit less1 month,Pit greater1 month
dairyCows,10,66,17,2,1,1,0.1,10,10,1,,
dairyCows,11,68,19,2,1,1,0.1,10,10,1,,
dairyCows,12,70,20,2,1,1,0.1,10,10,1,,
dairyCows,13,71,22,2,1,1,0.1,10,10,1,,
dairyCows,14,73,25,2,1,1,0.1,10,10,1,,
dairyCows,15,74,27,4,1.5,1.5,0.5,10,10,1,,
dairyCows,16,75,29,4,1.5,1.5,0.5,10,10,1,,
dairyCows,17,76,32,4,1.5,1.5,0.5,10,10,1,,
dairyCows,18,77,65,4,1.5,1.5,0.5,10,10,1,,
dairyCows,19,77,39,4,1.5,1.5,0.5,10,10,1,,
dairyCows,20,78,42,4,1.5,1.5,0.5,10,10,1,,
dairyCows,21,78,46,4,1.5,1.5,0.5,10,10,1,,
dairyCows,22,78,50,4,1.5,1.5,0.5,10,10,1,,
dairyCows,23,79,55,4,1.5,1.5,0.5,10,10,1,,
dairyCows,24,79,60,4,1.5,1.5,0.5,10,10,1,,
dairyCows,25,79,65,4,1.5,1.5,0.5,10,10,1,,
dairyCows,26,79,71,5,2,2,1,10,10,1,,
dairyCows,27,80,78,5,2,2,1,10,10,1,,
dairyCows,28,80,80,5,2,2,1,10,10,1,,
otherCattle,10,66,17,2,1,1,0.1,10,10,1,,
otherCattle,11,68,19,2,1,1,0.1,10,10,1,,
otherCattle,12,70,20,2,1,1,0.1,10,10,1,,
otherCattle,13,71,22,2,1,1,0.1,10,10,1,,
otherCattle,14,73,25,2,1,1,0.1,10,10,1,,
otherCattle,15,74,27,4,1.5,1.5,0.5,10,10,1,,
otherCattle,16,75,29,4,1.5,1.5,0.5,10,10,1,,
otherCattle,17,76,32,4,1.5,1.5,0.5,10,10,1,,
otherCattle,18,77,35,4,1.5,1.5,0.5,10,10,1,,
otherCattle,19,77,39,4,1.5,1.5,0.5,10,10,1,,
otherCattle,20,78,42,4,1.5,1.5,0.5,10,10,1,,
otherCattle,21,78,46,4,1.5,1.5,0.5,10,10,1,,
otherCattle,22,78,50,4,1.5,1.5,0.5,10,10,1,,
otherCattle,23,79,55,4,1.5,1.5,0.5,10,10,1,,
otherCattle,24,79,60,4,1.5,1.5,0.5,10,10,1,,
otherCattle,25,79,65,4,1.5,1.5,0.5,10,10,1,,
otherCattle,26,79,71,5,2,2,1,10,10,1,,
otherCattle,27,80,78,5,2,2,1,10,10,1,,
otherCattle,28,80,80,5,2,2,1,10,10,1,,
Market swine,10,66,17,2,1,,0.1,10,,1,3,17
Market swine,11,68,19,2,1,,0.1,10,,1,3,19
Market swine,12,70,20,2,1,,0.1,10,,1,3,20
Market swine,13,71,22,2,1,,0.1,10,,1,3,22
Market swine,14,73,25,2,1,,0.1,10,,1,3,25
Market swine,15,74,27,4,1.5,,0.5,10,,1,3,27
Market swine,16,75,29,4,1.5,,0.5,10,,1,3,29
Market swine,17,76,32,4,1.5,,0.5,10,,1,3,32
Market swine,18,77,35,4,1.5,,0.5,10,,1,3,35
Market swine,19,77,39,4,1.5,,0.5,10,,1,3,39
Market swine,20,78,42,4,1.5,,0.5,10,,1,3,42
Market swine,21,78,46,4,1.5,,0.5,10,,1,3,46
Market swine,22,78,50,4,1.5,,0.5,10,,1,3,50
Market swine,23,79,55,4,1.5,,0.5,10,,1,3,55
Market swine,24,79,60,4,1.5,,0.5,10,,1,3,60
Market swine,25,79,65,4,1.5,,0.5,10,,1,3,65
Market swine,26,79,71,5,2,,1,10,,1,30,71
Market swine,27,80,78,5,2,,1,10,,1,30,78
Market swine,28,80,80,5,2,,1,,,1,30,80
Breeding  swine,10,66,17,2,1,,0.1,10,,1,3,17
Breeding  swine,11,68,19,2,1,,0.1,10,,1,3,19
Breeding  swine,12,70,20,2,1,,0.1,10,,1,3,20
Breeding  swine,13,71,22,2,1,,0.1,10,,1,3,22
Breeding  swine,14,73,25,2,1,,0.1,10,,1,3,25
Breeding  swine,15,74,27,4,1.5,,0.5,10,,1,3,27
Breeding  swine,16,75,29,4,1.5,,0.5,10,,1,3,29
Breeding  swine,17,76,32,4,1.5,,0.5,10,,1,3,32
Breeding  swine,18,77,35,4,1.5,,0.5,10,,1,3,35
Breeding  swine,19,77,39,4,1.5,,0.5,10,,1,3,39
Breeding  swine,20,78,42,4,1.5,,0.5,10,,1,3,42
Breeding  swine,21,78,46,4,1.5,,0.5,10,,1,3,46
Breeding  swine,22,78,50,4,1.5,,0.5,10,,1,3,50
Breeding  swine,23,79,55,4,1.5,,0.5,10,,1,3,55
Breeding  swine,24,79,60,4,1.5,,0.5,10,,1,3,60
Breeding  swine,25,79,65,4,1.5,,0.5,10,,1,3,65
Breeding  swine,26,79,71,5,2,,1,10,,1,30,71
Breeding  swine,27,80,78,5,2,,1,10,,1,30,78
Breeding  swine,28,80,80,5,2,,1,10,,1,30,80
