code,Management option,Annual cropland,Paddy rice,Perennial cropland,Set aside (<20 years),Full,Reduced,No-till,Low,Medium,High without manure,High with manure,grassland_afr,forest_af
8,"Boreal,dry",0.8,1.1,1,0.93,1,1.02,1.1,0.95,1,1.04,1.37,4,
7,"Boreal,moist or wet",0.69,1.1,1,0.82,1,1.08,1.15,0.92,1,1.11,1.44,4,
4,"Cold temperate,dry",0.8,1.1,1,0.93,1,1.02,1.1,0.95,1,1.04,1.37,3.1,88
3,"Cold temperate,moist or wet",0.69,1.1,1,0.82,1,1.08,1.15,0.92,1,1.11,1.44,6.4,44
2,"Warm temperate,dry",0.8,1.1,1,0.93,1,1.02,1.1,0.95,1,1.04,1.37,2.9,88
1,"Warm temperate,moist or wet",0.69,1.1,1,0.82,1,1.08,1.15,0.92,1,1.11,1.44,6.3,44
12,"Tropical, dry",0.58,1.1,1,0.93,1,1.09,1.17,0.95,1,1.04,1.37,4.1,77
11,"Tropical, moist",0.48,1.1,1,0.82,1,1.15,1.22,0.92,1,1.11,1.44,7.6,156
10,"Tropical, wet",0.48,1.1,1,0.82,1,1.15,1.22,0.92,1,1.11,1.44,7.6,156
9,Tropical montane,0.64,1.1,1,1,1,1.09,1.16,0.94,1,1.08,1.41,7.6,77
